incident,command,service name,expansion
0,C:\Program Files\Uninstall Tool\UninstallTool.exe $(Arg0) /tasksch ,npcap packet driver (npcap),exe
0,systemroot\system32\driverstore\filerepository\oem15.inf_amd64_c9091335babbf02e\e1d68x64.sys ,Intel(R) Wireless Adapter Driver for Windows 10 - 64 Bit,sys
0,systemroot%\system32\svchost.exe ,intel(r) dynamic application loader host interface service,exe
0,C:\Windows\system32\pcalua.exe -a C:\Windows\ccmsetup\ccmsetup.exe -d C:\Windows\ccmsetup,iastore.sys,sys
0,C:\Program Files\uvnc bvba\UltraVnc\winvnc.exe -service_run,microsoft edge elevation service,exe
0,C:\Program Files\uvnc bvba\UltraVnc\winvnc.exe -service,c:\users\user~1\appdata\local\temp\amifldrv64.sys,sys
0,-,\Used 1C licenses trapper,ps1
1,c:\program files (x86)\релематика\микра\drivers\bresleropcdaserver.exe -w -oldstyle,Service1,vbs
0,systemroot\system32\drivers\ftser2k.sys,hp application driver,sys
1,C:\Program Files\Google\Chrome\Application\chrome.exe --kiosk http://PC/d/A3vRoFN7k/average-events?orgId=1&refresh=30s. ,PluginService,bat
0, cmd.exe /C net user > %windir%\Temp\FnMSjQAJ.tmp 2>&1 cmd.exe /C dir c:\users > %windir%\Temp\kcLyQpnR.tmp 2>&1 cmd.exe /C tasklist /svc > %windir%\Temp\UVAtfcnK.tmp 2>&1 cmd.exe /C net user > %windir%\Temp\FnMSjQAJ.tmp 2>&1,tunnel,sys
0,-,rtkbtmanserv,exe
0,C:\Scripts\Clear_AD_From_Objects_User\Clear_AD_From_Objects_User.vbs,\CCleanerCrashReporting,exe
1,System32\Drivers\360Hvm64.sys,000000B4A613B2084633602,exe
0,C:\Windows\system32\cmd.exe /Q /c echo tasklist ^> \\127.0.0.1\C$\__output 2^>^&1 > C:\Windows\TEMP\execute.bat & C:\Windows\system32\cmd.exe /Q /c C:\Windows\TEMP\execute.bat & del C:\Windows\TEMP\execute.bat,\TechPulseUpdater,exe
1,systemroot\system32\drivers\netwtw06.sys,Cwbrxd ,vbs
0,systemroot%\system32\driverstore\filerepository\oem18.inf_amd64_b5484efd38adbe8d\jhi_service.exe,\\Перезагрузка ПК после,-
0,system32\drivers\iastore.sys,kl1,sys
1,c:\program files (x86)\microsoft\edge\application\92.0.902.67\elevation_service.exe,TSSysKit,sys
1,c:\users\user~1\appdata\local\temp\amifldrv64.sys,AlarmServerApp,exe
0,C:\Scripts\Clean_Exchange_log.ps1,microsoft bluetooth a2dp driver,sys
0,c:\windows\system32\drivers\fgstullc.sys,fgstullc.sys ,sys
1,C:\WebProjects\TestService2\TestService2\bin\Debug\TestService2.vbs,Cwbrxd ,exe
0,SystemRoot\System32\DriverStore\FileRepository\hpcustomcapdriver.inf_amd64_a955fa431e522f5e\x64\hpcustomcapdriver.sys,wanarp,sys
0,C:\Program Files\NetIPCamera\PluginService.bat,Intel(R) PRO/1000 PCI Express Network Connection Driver I,sys
1,C:\Windows\System32\drivers\tunnel.sys,Запуск скрипта EQ,vbs
1,systemroot%\rtkbtmanserv.exe,\Cronos,exe
0,C:\Program Files\CCleaner\CCleanerBugReport.exe --product 90 --send dumps|report --path C:\Program Files\CCleaner\LOG --programpath C:\Program Files\CCleaner --configpath C:\Program Files\CCleaner\Setup --guid 0bcbdde1-d48b-4614-b2f2-ea8aea71bb8a --version 6.04.10044 --silent,\NvProfileUpdaterDaily_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},-
0,C:\Tools\SunloginClientSOS_1.2.1.58835_x64.exe --mod=servicesvc, Intel(R) Wireless Bluetooth®,sys
0,C:\Program Files (x86)\Hewlett-Packard\HP Touchpoint Manager\Tools\TAInstaller.exe --install --deployer,Check Point Virtual Network Adapter - Apollo,sys
0,C:\WINDOWS\cwbrxd.vbs,\CCleanerCrashReporting,exe
0,shutdown -r -t 0,MsLldp,sys
1,system32\drivers\kl1.sys,C:\Temp\nprintingscript\nprintingcount.ps1,ps1
0,C:\Program Files (x86)\Tencent\QQPCMgr\13.10.21936.216\TSSysKit64_EV.sys,\T1053_005_OnStartup',-
0,C:\Program Files (x86)\LTV-NVMS lite\Server\AlarmServer.exe,aswRvrt,sys
0,systemroot\system32\drivers\btha2dp.sys,aswbidsh,sys
0,c:\windows\system32\drivers\fgstullc.sys,BthEnum,sys
